RT,RT_log,current_task,CurvCond,SizeCond,accuracy,condition,participant,block
652.926829268293,6.46912856452937,JudgeSize,Cu,Sm,0.983333333333333,04-SizeTask-SmallCurvy,4,2
652.926829268293,6.46912856452937,JudgeSize,Cu,Sm,0.983333333333333,04-SizeTask-SmallCurvy,4,3
651.954022988506,6.46940695847651,JudgeCurviness,Bo,Bi,1,05-CurvTask-BigBoxy,4,1
651.954022988506,6.46940695847651,JudgeCurviness,Bo,Bi,1,05-CurvTask-BigBoxy,4,4
641,6.45227029631292,JudgeCurviness,Cu,Bi,0.994444444444444,06-CurvTask-BigCurvy,4,1
641,6.45227029631292,JudgeCurviness,Cu,Bi,0.994444444444444,06-CurvTask-BigCurvy,4,4
660.320987654321,6.48194852893815,JudgeCurviness,Bo,Sm,0.977777777777778,07-CurvTask-SmallBoxy,4,1
660.320987654321,6.48194852893815,JudgeCurviness,Bo,Sm,0.977777777777778,07-CurvTask-SmallBoxy,4,4
685.941176470588,6.51060075021609,JudgeCurviness,Cu,Sm,0.977777777777778,08-CurvTask-SmallCurvy,4,1
685.941176470588,6.51060075021609,JudgeCurviness,Cu,Sm,0.977777777777778,08-CurvTask-SmallCurvy,4,4
774.898734177215,6.62456413463231,JudgeSize,Bo,Bi,0.988888888888889,01-SizeTask-BigBoxy,5,1
774.898734177215,6.62456413463231,JudgeSize,Bo,Bi,0.988888888888889,01-SizeTask-BigBoxy,5,4
939.774647887324,6.78753869679157,JudgeSize,Cu,Bi,0.944444444444444,02-SizeTask-BigCurvy,5,1
939.774647887324,6.78753869679157,JudgeSize,Cu,Bi,0.944444444444444,02-SizeTask-BigCurvy,5,4
931.8,6.79366943238314,JudgeSize,Bo,Sm,0.95,03-SizeTask-SmallBoxy,5,1
931.8,6.79366943238314,JudgeSize,Bo,Sm,0.95,03-SizeTask-SmallBoxy,5,4
801.541176470588,6.64645166129565,JudgeSize,Cu,Sm,0.988888888888889,04-SizeTask-SmallCurvy,5,1
801.541176470588,6.64645166129565,JudgeSize,Cu,Sm,0.988888888888889,04-SizeTask-SmallCurvy,5,4
804.127906976744,6.65006263124917,JudgeCurviness,Bo,Bi,0.966666666666667,05-CurvTask-BigBoxy,5,2
804.127906976744,6.65006263124917,JudgeCurviness,Bo,Bi,0.966666666666667,05-CurvTask-BigBoxy,5,3
929.164556962025,6.78392923116652,JudgeCurviness,Cu,Bi,0.9,06-CurvTask-BigCurvy,5,2
929.164556962025,6.78392923116652,JudgeCurviness,Cu,Bi,0.9,06-CurvTask-BigCurvy,5,3
852.55,6.71499301262094,JudgeCurviness,Bo,Sm,0.927777777777778,07-CurvTask-SmallBoxy,5,2
852.55,6.71499301262094,JudgeCurviness,Bo,Sm,0.927777777777778,07-CurvTask-SmallBoxy,5,3
824.576470588235,6.68104367764594,JudgeCurviness,Cu,Sm,0.988888888888889,08-CurvTask-SmallCurvy,5,2
824.576470588235,6.68104367764594,JudgeCurviness,Cu,Sm,0.988888888888889,08-CurvTask-SmallCurvy,5,3
515.573033707865,6.23033514297671,JudgeSize,Bo,Bi,0.983333333333333,01-SizeTask-BigBoxy,6,1
