RT,RT_log,condition,participant,current_task,CurvCond,SizeCond,SizeCurv,congruent,accuracy
515.638554216867,6.23113136776925,01-SizeTask-BigBoxy,7,JudgeSize,Bo,Bi,Bi Bo,1,0.994444444444444
557.0375,6.30265967131587,02-SizeTask-BigCurvy,7,JudgeSize,Cu,Bi,Bi Cu,1,0.966666666666667
612.325581395349,6.39732449165324,03-SizeTask-SmallBoxy,7,JudgeSize,Bo,Sm,Sm Bo,1,0.966666666666667
546.046511627907,6.28821293245948,04-SizeTask-SmallCurvy,7,JudgeSize,Cu,Sm,Sm Cu,1,0.988888888888889
524.693181818182,6.2424186553272,05-CurvTask-BigBoxy,7,JudgeCurviness,Bo,Bi,Bi Bo,1,0.977777777777778
552.728395061728,6.30055770684173,06-CurvTask-BigCurvy,7,JudgeCurviness,Cu,Bi,Bi Cu,1,0.961111111111111
585.469879518072,6.33691318999361,07-CurvTask-SmallBoxy,7,JudgeCurviness,Bo,Sm,Sm Bo,1,0.977777777777778
519.6,6.24037784769598,08-CurvTask-SmallCurvy,7,JudgeCurviness,Cu,Sm,Sm Cu,1,0.994444444444444
632.391891891892,6.43913067244641,01-SizeTask-BigBoxy,8,JudgeSize,Bo,Bi,Bi Bo,0,0.927777777777778
666.939024390244,6.47636832050424,02-SizeTask-BigCurvy,8,JudgeSize,Cu,Bi,Bi Cu,0,0.916666666666667
638.459459459459,6.44783893043898,03-SizeTask-SmallBoxy,8,JudgeSize,Bo,Sm,Sm Bo,0,0.944444444444444
708.492537313433,6.54456646323363,04-SizeTask-SmallCurvy,8,JudgeSize,Cu,Sm,Sm Cu,0,0.905555555555556
576.736111111111,6.32475585588213,05-CurvTask-BigBoxy,8,JudgeCurviness,Bo,Bi,Bi Bo,0,0.95
613.718309859155,6.40604551102308,06-CurvTask-BigCurvy,8,JudgeCurviness,Cu,Bi,Bi Cu,0,0.966666666666667
578.118421052632,6.34338562437755,07-CurvTask-SmallBoxy,8,JudgeCurviness,Bo,Sm,Sm Bo,0,0.955555555555556
568.205479452055,6.32350780957063,08-CurvTask-SmallCurvy,8,JudgeCurviness,Cu,Sm,Sm Cu,0,0.894444444444444
539.873417721519,6.27320958797874,01-SizeTask-BigBoxy,9,JudgeSize,Bo,Bi,Bi Bo,1,0.977777777777778
567.2,6.32305955844505,02-SizeTask-BigCurvy,9,JudgeSize,Cu,Bi,Bi Cu,1,0.9
605.625,6.38570390701984,03-SizeTask-SmallBoxy,9,JudgeSize,Bo,Sm,Sm Bo,1,0.927777777777778
561.521739130435,6.32262513658159,04-SizeTask-SmallCurvy,9,JudgeSize,Cu,Sm,Sm Cu,1,0.972222222222222
518.744186046512,6.22641187272521,05-CurvTask-BigBoxy,9,JudgeCurviness,Bo,Bi,Bi Bo,1,0.966666666666667
550.191176470588,6.29114609886975,06-CurvTask-BigCurvy,9,JudgeCurviness,Cu,Bi,Bi Cu,1,0.916666666666667
559.5,6.301615815558,07-CurvTask-SmallBoxy,9,JudgeCurviness,Bo,Sm,Sm Bo,1,0.861111111111111
479.73417721519,6.16170125269309,08-CurvTask-SmallCurvy,9,JudgeCurviness,Cu,Sm,Sm Cu,1,0.927777777777778
572.692307692308,6.32750986961018,01-SizeTask-BigBoxy,10,JudgeSize,Bo,Bi,Bi Bo,0,0.95
603.089743589744,6.36964407946095,02-SizeTask-BigCurvy,10,JudgeSize,Cu,Bi,Bi Cu,0,0.944444444444444
610.924050632911,6.39216496754468,03-SizeTask-SmallBoxy,10,JudgeSize,Bo,Sm,Sm Bo,0,0.988888888888889
